Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Pokémon Emerald Version,Game: Pokémon Emerald Version, Platform: GBA,1.58,2.06,2.57,0.21,6.41
Kingdom Hearts,Game: Kingdom Hearts, Platform: PS2,1.2,1.49,3.64,0.07,6.4
Pokémon Crystal Version,Game: Pokémon Crystal Version, Platform: GB,1.56,1.29,2.55,0.99,6.39
Halo 3: ODST,Game: Halo 3: ODST, Platform: X360,1.35,0.06,4.34,0.61,6.36
Red Dead Redemption,Game: Red Dead Redemption, Platform: X360,1.97,0.09,3.7,0.57,6.34
Super Mario Sunshine,Game: Super Mario Sunshine, Platform: GC,1.26,0.87,4.01,0.17,6.31
Street Fighter II: The World Warrior,Game: Street Fighter II: The World Warrior, Platform: SNES,0.83,2.87,2.47,0.12,6.3
World of Warcraft,Game: World of Warcraft, Platform: PC,6.21,0,0.07,0,6.28
Driver,Game: Driver, Platform: PS,2.8,0.02,3.11,0.33,6.27
Kinect Sports,Game: Kinect Sports, Platform: X360,1.78,0.03,3.92,0.51,6.24
Gears of War 3,Game: Gears of War 3, Platform: X360,1.62,0.07,4.05,0.49,6.24
Gears of War,Game: Gears of War, Platform: X360,1.9,0.07,3.54,0.6,6.11
Metal Gear Solid 2: Sons of Liberty,Game: Metal Gear Solid 2: Sons of Liberty, Platform: PS2,2.01,0.87,2.45,0.72,6.05
Sonic the Hedgehog 2,Game: Sonic the Hedgehog 2, Platform: GEN,1.2,0.16,4.47,0.19,6.03
Metal Gear Solid 4: Guns of the Patriots,Game: Metal Gear Solid 4: Guns of the Patriots, Platform: PS3,1.74,0.83,2.63,0.83,6.03
Metal Gear Solid,Game: Metal Gear Solid, Platform: PS,1.83,0.78,3.18,0.24,6.03
The Last of Us,Game: The Last of Us, Platform: PS3,2.28,0.28,2.41,1.01,5.99
Final Fantasy XII,Game: Final Fantasy XII, Platform: PS2,0,2.33,1.88,1.74,5.95
LittleBigPlanet,Game: LittleBigPlanet, Platform: PS3,2.05,0.17,2.8,0.9,5.92
Dragon Quest IX: Sentinels of the Starry Skies,Game: Dragon Quest IX: Sentinels of the Starry Skies, Platform: DS,0.69,4.35,0.66,0.15,5.84
LEGO Star Wars: The Complete Saga,Game: LEGO Star Wars: The Complete Saga, Platform: Wii,1.63,0,3.66,0.53,5.83
Resident Evil 2,Game: Resident Evil 2, Platform: PS,1.47,2.02,1.88,0.45,5.82
Tekken 2,Game: Tekken 2, Platform: PS,1.89,1.36,2.26,0.23,5.74
Cooking Mama,Game: Cooking Mama, Platform: DS,1.94,0.07,3.13,0.58,5.72
Destiny,Game: Destiny, Platform: PS4,2.05,0.16,2.49,0.96,5.65
Tetris,Game: Tetris, Platform: NES,0.69,1.81,2.97,0.11,5.58
Assassin's Creed II,Game: Assassin's Creed II, Platform: PS3,1.95,0.21,2.54,0.87,5.57
Super Smash Bros.,Game: Super Smash Bros., Platform: N64,0.6,1.97,2.95,0.04,5.55
Assassin's Creed,Game: Assassin's Creed, Platform: X360,1.65,0.07,3.28,0.55,5.55
Batman: Arkham City,Game: Batman: Arkham City, Platform: PS3,1.91,0.11,2.7,0.8,5.53
Forza Motorsport 3,Game: Forza Motorsport 3, Platform: X360,1.92,0.1,2.99,0.51,5.51
