Game Name,Game Name, Platform,Sales in Europe(millions),Sales in Japan(millions),Sales in North America(millions),Sales in the rest world(millions),Total Worldwide Sales(millions)
Pac-Pix,Game: Pac-Pix, Platform: DS,0,0.1,0.16,0.01,0.27
Pokemon Trozei!,Game: Pokemon Trozei!, Platform: DS,0,0.31,0.26,0.02,0.6
Chameleon: To Dye For!,Game: Chameleon: To Dye For!, Platform: DS,0,0,0.01,0,0.01
Monster Bomber,Game: Monster Bomber, Platform: DS,0,0,0.01,0,0.01
Konductra,Game: Konductra, Platform: DS,0,0,0.02,0,0.02
GunPey DS,Game: GunPey DS, Platform: DS,0,0,0.04,0,0.05
Battleship / Connect Four / Sorry! / Trouble,Game: Battleship / Connect Four / Sorry! / Trouble, Platform: DS,0,0,0.05,0,0.05
Honeycomb Beat,Game: Honeycomb Beat, Platform: DS,0,0,0.05,0,0.06
Lode Runner,Game: Lode Runner, Platform: DS,0,0.02,0,0,0.02
Bomberman Land Touch!,Game: Bomberman Land Touch!, Platform: DS,0,0.04,0.04,0,0.09
Mawashite Tsunageru Touch Panic,Game: Mawashite Tsunageru Touch Panic, Platform: DS,0,0.05,0,0,0.05
Sudoku Gridmaster (JP sales),Game: Sudoku Gridmaster (JP sales), Platform: DS,0,0.19,0,0,0.19
Puyo Puyo! 15th Anniversary,Game: Puyo Puyo! 15th Anniversary, Platform: DS,0,0.28,0,0,0.28
Sudoku Mania,Game: Sudoku Mania, Platform: DS,0,0,0.09,0.01,0.1
Sudoku Gridmaster,Game: Sudoku Gridmaster, Platform: DS,0.03,0,0.13,0.01,0.17
Magnetica,Game: Magnetica, Platform: DS,0.01,0.03,0.08,0.01,0.14
Master of Illusion,Game: Master of Illusion, Platform: DS,0,0.26,0.16,0.01,0.44
Math Play,Game: Math Play, Platform: DS,0,0,0.28,0.02,0.31
Mario vs. Donkey Kong 2: March of the Minis,Game: Mario vs. Donkey Kong 2: March of the Minis, Platform: DS,0.03,0.36,0.74,0.07,1.2
NEVES,Game: NEVES, Platform: DS,0,0,0.01,0,0.02
O.M.G. 26 - Our Mini Games,Game: O.M.G. 26 - Our Mini Games, Platform: DS,0,0,0.02,0,0.02
Spanish for Everyone!,Game: Spanish for Everyone!, Platform: DS,0,0,0.02,0,0.02
Napoleon Dynamite: The Game,Game: Napoleon Dynamite: The Game, Platform: DS,0,0,0.02,0,0.03
Bubble Bobble Double Shot,Game: Bubble Bobble Double Shot, Platform: DS,0,0,0.03,0,0.04
Betty Boop's Double Shift,Game: Betty Boop's Double Shift, Platform: DS,0,0,0.03,0,0.03
Boing! Docomodake DS,Game: Boing! Docomodake DS, Platform: DS,0,0,0.04,0,0.05
Prism: Light the Way,Game: Prism: Light the Way, Platform: DS,0,0,0.05,0,0.05
Zendoku,Game: Zendoku, Platform: DS,0,0,0.05,0,0.06
Crazy Chicken: Pharaoh's Treasure,Game: Crazy Chicken: Pharaoh's Treasure, Platform: DS,0,0,0.05,0,0.06
Arkanoid DS,Game: Arkanoid DS, Platform: DS,0,0,0.06,0,0.06
Nervous Brickdown,Game: Nervous Brickdown, Platform: DS,0.01,0,0,0,0.02
Luxor: Pharaoh's Challenge,Game: Luxor: Pharaoh's Challenge, Platform: DS,0.01,0,0,0,0.01
Platinum Sudoku,Game: Platinum Sudoku, Platform: DS,0.01,0,0.03,0,0.04
Meteos: Disney Magic,Game: Meteos: Disney Magic, Platform: DS,0.02,0,0.01,0,0.04
Boulder Dash: Rocks!,Game: Boulder Dash: Rocks!, Platform: DS,0.03,0,0,0,0.03
Scrabble 2007 Edition,Game: Scrabble 2007 Edition, Platform: DS,0.48,0,0,0,0.48
Make 10: A Journey of Numbers,Game: Make 10: A Journey of Numbers, Platform: DS,0,0.07,0,0,0.07
Kotoba no Puzzle: Mojipittan DS,Game: Kotoba no Puzzle: Mojipittan DS, Platform: DS,0,0.37,0,0,0.37
Puchi Puchi Virus,Game: Puchi Puchi Virus, Platform: DS,0,0,0.08,0.01,0.08
Sudokuro,Game: Sudokuro, Platform: DS,0,0,0.1,0.01,0.11
PictoImage,Game: PictoImage, Platform: DS,0,0,0.1,0.01,0.1
Ultimate Puzzle Games: Sudoku Edition,Game: Ultimate Puzzle Games: Sudoku Edition, Platform: DS,0,0,0.11,0.01,0.12
Animal Genius,Game: Animal Genius, Platform: DS,0,0,0.11,0.01,0.12
Puzzle de Harvest Moon,Game: Puzzle de Harvest Moon, Platform: DS,0,0,0.12,0.01,0.13
Cake Mania,Game: Cake Mania, Platform: DS,0.01,0,0.09,0.01,0.11
7 Wonders of the Ancient World,Game: 7 Wonders of the Ancient World, Platform: DS,0.01,0,0.1,0.01,0.13
WordJong,Game: WordJong, Platform: DS,0.01,0,0.13,0.01,0.16
Jewel Quest: Expeditions,Game: Jewel Quest: Expeditions, Platform: DS,0.18,0,0.03,0.01,0.22
Mah Jong Quest: Expeditions,Game: Mah Jong Quest: Expeditions, Platform: DS,0.26,0,0.02,0.01,0.3
Bomberman Land Touch! 2,Game: Bomberman Land Touch! 2, Platform: DS,0,0.01,0.13,0.01,0.16
Planet Puzzle League,Game: Planet Puzzle League, Platform: DS,0.01,0.16,0.14,0.01,0.33
Super Collapse! 3,Game: Super Collapse! 3, Platform: DS,0,0,0.25,0.02,0.27
Ratatouille: Food Frenzy,Game: Ratatouille: Food Frenzy, Platform: DS,0,0,0.26,0.02,0.29
Puzzle Quest: Challenge of the Warlords,Game: Puzzle Quest: Challenge of the Warlords, Platform: DS,0.01,0.03,0.28,0.02,0.34
Picross DS,Game: Picross DS, Platform: DS,0.02,0.3,0.17,0.02,0.51
The New York Times Crosswords,Game: The New York Times Crosswords, Platform: DS,0,0,0.42,0.03,0.45
Crayola: Treasure Adventures,Game: Crayola: Treasure Adventures, Platform: DS,0.01,0,0.43,0.03,0.47
Diner Dash: Sizzle & Serve,Game: Diner Dash: Sizzle & Serve, Platform: DS,0.03,0,0.34,0.03,0.4
I Spy: Fun House,Game: I Spy: Fun House, Platform: DS,0,0,0.77,0.06,0.83
Personal Trainer: Math,Game: Personal Trainer: Math, Platform: DS,1.12,0,0.49,0.09,1.7
Best Of Tests,Game: Best Of Tests, Platform: DS,0,0,0.01,0,0.01
Mega Brain Boost,Game: Mega Brain Boost, Platform: DS,0,0,0.01,0,0.01
Double Sequence: The Q-Virus Invasion,Game: Double Sequence: The Q-Virus Invasion, Platform: DS,0,0,0.01,0,0.01
Merv Griffin's Crosswords,Game: Merv Griffin's Crosswords, Platform: DS,0,0,0.03,0,0.03
Professor Heinz Wolff's Gravity,Game: Professor Heinz Wolff's Gravity, Platform: DS,0,0,0.04,0,0.05
Zoo Quest: Puzzle Fun!,Game: Zoo Quest: Puzzle Fun!, Platform: DS,0,0,0.05,0,0.05
Tropix,Game: Tropix, Platform: DS,0,0,0.06,0,0.07
DropCast,Game: DropCast, Platform: DS,0,0,0.06,0,0.06
Rock Blast,Game: Rock Blast, Platform: DS,0,0,0.06,0,0.06
Bomberman 2,Game: Bomberman 2, Platform: DS,0.01,0,0,0,0.02
Crazy Machines,Game: Crazy Machines, Platform: DS,0.03,0,0,0,0.04
Doodle Hex,Game: Doodle Hex, Platform: DS,0.03,0,0,0,0.03
Line Rider 2: Unbound,Game: Line Rider 2: Unbound, Platform: DS,0,0,0.07,0.01,0.08
Wordfish,Game: Wordfish, Platform: DS,0,0,0.07,0.01,0.08
Margot's Word Brain,Game: Margot's Word Brain, Platform: DS,0,0,0.07,0.01,0.07
Mechanic Master,Game: Mechanic Master, Platform: DS,0,0,0.1,0.01,0.11
USA Today Crossword Challenge,Game: USA Today Crossword Challenge, Platform: DS,0,0,0.11,0.01,0.12
Pipe Mania,Game: Pipe Mania, Platform: DS,0.01,0,0.08,0.01,0.09
Rubik's World,Game: Rubik's World, Platform: DS,0.01,0,0.1,0.01,0.12
Zenses: Rainforest,Game: Zenses: Rainforest, Platform: DS,0.01,0,0.1,0.01,0.12
Zenses: Ocean,Game: Zenses: Ocean, Platform: DS,0.01,0,0.11,0.01,0.13
The Quest Trio,Game: The Quest Trio, Platform: DS,0.01,0,0.14,0.01,0.15
Soul Bubbles,Game: Soul Bubbles, Platform: DS,0.02,0,0.05,0.01,0.08
Brain Voyage,Game: Brain Voyage, Platform: DS,0.02,0,0.06,0.01,0.09
Space Bust-A-Move,Game: Space Bust-A-Move, Platform: DS,0.02,0,0.1,0.01,0.13
Mahjong: Journey Quest for Tikal,Game: Mahjong: Journey Quest for Tikal, Platform: DS,0.03,0,0.15,0.01,0.19
Exit DS,Game: Exit DS, Platform: DS,0,0.01,0.09,0.01,0.1
Cake Mania 2: Jill's Next Adventure!,Game: Cake Mania 2: Jill's Next Adventure!, Platform: DS,0,0,0.24,0.02,0.27
Neopets Puzzle Adventure,Game: Neopets Puzzle Adventure, Platform: DS,0,0,0.26,0.02,0.29
101-in-1 Explosive Megamix,Game: 101-in-1 Explosive Megamix, Platform: DS,0.13,0,0.05,0.02,0.2
Cradle of Rome,Game: Cradle of Rome, Platform: DS,0.16,0,0.06,0.03,0.25
CrossworDS,Game: CrossworDS, Platform: DS,0,0,0.51,0.04,0.55
Hello Kitty: Big City Dreams,Game: Hello Kitty: Big City Dreams, Platform: DS,0.08,0,0.42,0.04,0.54
Puzzler Collection,Game: Puzzler Collection, Platform: DS,0.78,0,0.17,0.04,1
TouchMaster 2,Game: TouchMaster 2, Platform: DS,0.49,0,0.3,0.1,0.9
The Humans: Meet the Ancestors!,Game: The Humans: Meet the Ancestors!, Platform: DS,0,0,0.01,0,0.01
Smiley World: Island Challenge,Game: Smiley World: Island Challenge, Platform: DS,0,0,0.01,0,0.01
Puzzle City,Game: Puzzle City, Platform: DS,0,0,0.02,0,0.02
Hands On! Tangrams,Game: Hands On! Tangrams, Platform: DS,0,0,0.02,0,0.02
Jig-A-Pix: Pets,Game: Jig-A-Pix: Pets, Platform: DS,0,0,0.03,0,0.04
Logic Machines,Game: Logic Machines, Platform: DS,0,0,0.04,0,0.04
Challenge Me: Maths Workout,Game: Challenge Me: Maths Workout, Platform: DS,0,0,0.04,0,0.04
Nanda's Island,Game: Nanda's Island, Platform: DS,0,0,0.04,0,0.05
Rollin' Rascals,Game: Rollin' Rascals, Platform: DS,0,0,0.04,0,0.04
Jumble Madness,Game: Jumble Madness, Platform: DS,0,0,0.06,0,0.06
Challenge Me: Brain Puzzles,Game: Challenge Me: Brain Puzzles, Platform: DS,0,0,0.06,0,0.06
Sudoku Ball Detective,Game: Sudoku Ball Detective, Platform: DS,0,0,0.06,0,0.06
Roogoo Attack!,Game: Roogoo Attack!, Platform: DS,0,0,0.07,0,0.07
Aqua Panic!,Game: Aqua Panic!, Platform: DS,0.01,0,0.01,0,0.02
Jewel Quest Mysteries,Game: Jewel Quest Mysteries, Platform: DS,0.01,0,0.03,0,0.05
Jig-A-Pix: Wild World,Game: Jig-A-Pix: Wild World, Platform: DS,0.01,0,0.03,0,0.03
Scrabble (Others sales),Game: Scrabble (Others sales), Platform: DS,0.24,0,0,0,0.24
Umihara Kawase Jun: Second Edition Kanzenban,Game: Umihara Kawase Jun: Second Edition Kanzenban, Platform: DS,0,0.01,0,0,0.01
Chibi Maruko-Chan DS: Maru-Chan no Machi,Game: Chibi Maruko-Chan DS: Maru-Chan no Machi, Platform: DS,0,0.04,0,0,0.04
Sloane to MacHale no Nazo no Monogatari 2,Game: Sloane to MacHale no Nazo no Monogatari 2, Platform: DS,0,0.09,0,0,0.09
Sloane to MacHale no Nazo no Monogatari,Game: Sloane to MacHale no Nazo no Monogatari, Platform: DS,0,0.2,0,0,0.2
Puyo Puyo 7,Game: Puyo Puyo 7, Platform: DS,0,0.3,0,0,0.3
Overlord: Minions,Game: Overlord: Minions, Platform: DS,0,0,0.07,0.01,0.07
USA Today Puzzle Craze,Game: USA Today Puzzle Craze, Platform: DS,0,0,0.09,0.01,0.1
Fabulous Finds,Game: Fabulous Finds, Platform: DS,0,0,0.1,0.01,0.11
Peggle: Dual Shot,Game: Peggle: Dual Shot, Platform: DS,0,0,0.11,0.01,0.12
Puzzle Kingdoms,Game: Puzzle Kingdoms, Platform: DS,0,0,0.12,0.01,0.13
Learn Math,Game: Learn Math, Platform: DS,0,0,0.13,0.01,0.14
Balloon Pop,Game: Balloon Pop, Platform: DS,0,0,0.13,0.01,0.14
Diner Dash: Flo on the Go,Game: Diner Dash: Flo on the Go, Platform: DS,0,0,0.13,0.01,0.14
Puzzle Quest: Galactrix,Game: Puzzle Quest: Galactrix, Platform: DS,0,0,0.15,0.01,0.16
Squeeballs Party,Game: Squeeballs Party, Platform: DS,0,0,0.16,0.01,0.17
Henry Hatsworth in the Puzzling Adventure,Game: Henry Hatsworth in the Puzzling Adventure, Platform: DS,0.01,0,0.08,0.01,0.09
Harvest Moon: Frantic Farming,Game: Harvest Moon: Frantic Farming, Platform: DS,0.01,0,0.08,0.01,0.1
SafeCracker: The Ultimate Puzzle Adventure,Game: SafeCracker: The Ultimate Puzzle Adventure, Platform: DS,0.06,0,0.07,0.01,0.15
Countdown: The Game,Game: Countdown: The Game, Platform: DS,0.14,0,0,0.01,0.15
Take A Break's: Puzzle Master,Game: Take A Break's: Puzzle Master, Platform: DS,0.15,0,0,0.01,0.16
Are You Smarter than a 5th Grader? Game Time,Game: Are You Smarter than a 5th Grader? Game Time, Platform: DS,0,0,0.22,0.02,0.24
Foto Frenzy: Spot The Diffrence,Game: Foto Frenzy: Spot The Diffrence, Platform: DS,0,0,0.29,0.02,0.31
Bookworm,Game: Bookworm, Platform: DS,0.01,0,0.31,0.02,0.34
Jewel Quest Solitaire,Game: Jewel Quest Solitaire, Platform: DS,0.14,0,0,0.02,0.15
Hasbro Family Game Night,Game: Hasbro Family Game Night, Platform: DS,0.19,0,0.01,0.02,0.22
Nintendo Presents: Crossword Collection,Game: Nintendo Presents: Crossword Collection, Platform: DS,0.21,0,0,0.02,0.24
TouchMaster 3(Others sales),Game: TouchMaster 3(Others sales), Platform: DS,0.24,0,0,0.02,0.26
7 Wonders II,Game: 7 Wonders II, Platform: DS,0.15,0,0.14,0.03,0.32
Picross 3D,Game: Picross 3D, Platform: DS,0.03,0.16,0.3,0.03,0.53
TouchMaster 3,Game: TouchMaster 3, Platform: DS,0.11,0,0.3,0.04,0.44
100 All-Time Favorites,Game: 100 All-Time Favorites, Platform: DS,0.12,0,0.35,0.04,0.51
Jewel Master Egypt,Game: Jewel Master Egypt, Platform: DS,0.27,0,0.21,0.05,0.53
Drawn to Life: The Next Chapter,Game: Drawn to Life: The Next Chapter, Platform: DS,0.14,0,0.45,0.06,0.65
Puzzler World,Game: Puzzler World, Platform: DS,0.3,0,0.41,0.07,0.78
Gardening Mama,Game: Gardening Mama, Platform: DS,0.43,0.01,0.8,0.13,1.38
Puzzle Chronicles,Game: Puzzle Chronicles, Platform: DS,0,0,0.01,0,0.02
Mind over Matter,Game: Mind over Matter, Platform: DS,0,0,0.02,0,0.02
Mechanic Master 2,Game: Mechanic Master 2, Platform: DS,0,0,0.02,0,0.02
Casual Mania!,Game: Casual Mania!, Platform: DS,0,0,0.04,0,0.04
Ivy the Kiwi?,Game: Ivy the Kiwi?, Platform: DS,0,0,0.04,0,0.05
Squishy Tank,Game: Squishy Tank, Platform: DS,0,0,0.07,0,0.07
Know How 2,Game: Know How 2, Platform: DS,0.01,0,0,0,0.01
The Treasures of Montezuma,Game: The Treasures of Montezuma, Platform: DS,0.02,0,0.02,0,0.04
Nancy Drew: The Model Mysteries,Game: Nancy Drew: The Model Mysteries, Platform: DS,0,0,0.09,0.01,0.1
Silly Bandz: Play The Craze,Game: Silly Bandz: Play The Craze, Platform: DS,0,0,0.1,0.01,0.11
Puzzle Quest 2,Game: Puzzle Quest 2, Platform: DS,0,0,0.11,0.01,0.12
Yard Sale Hidden Treasures: Sunnyville,Game: Yard Sale Hidden Treasures: Sunnyville, Platform: DS,0,0,0.11,0.01,0.12
I Spy: Universe,Game: I Spy: Universe, Platform: DS,0,0,0.13,0.01,0.14
Jewel Master: Cradle of Athena,Game: Jewel Master: Cradle of Athena, Platform: DS,0,0,0.18,0.01,0.19
Titanic Mystery,Game: Titanic Mystery, Platform: DS,0.02,0,0.05,0.01,0.08
Challenge Me: Brain Puzzles 2,Game: Challenge Me: Brain Puzzles 2, Platform: DS,0.04,0,0.05,0.01,0.09
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,Game: Hidden Mysteries: Salem Secrets - Witch Trials of 1692, Platform: DS,0.04,0,0.09,0.01,0.15
Match 3 Madness,Game: Match 3 Madness, Platform: DS,0.05,0,0,0.01,0.06
OK! Puzzle Stars,Game: OK! Puzzle Stars, Platform: DS,0.06,0,0,0.01,0.07
Bejeweled Twist,Game: Bejeweled Twist, Platform: DS,0.09,0,0,0.01,0.1
Puzzler World 2,Game: Puzzler World 2, Platform: DS,0.07,0,0.02,0.02,0.12
Pictionary,Game: Pictionary, Platform: DS,0.07,0,0.1,0.02,0.19
Hidden Mysteries: Buckingham Palace,Game: Hidden Mysteries: Buckingham Palace, Platform: DS,0.07,0,0.13,0.02,0.22
Jewels of the Tropical Lost Island,Game: Jewels of the Tropical Lost Island, Platform: DS,0.1,0,0.11,0.02,0.24
Mahjongg Mysteries: Ancient Egypt,Game: Mahjongg Mysteries: Ancient Egypt, Platform: DS,0.11,0,0.07,0.02,0.2
Jewel Match,Game: Jewel Match, Platform: DS,0.12,0,0.05,0.02,0.18
Mystery Tales of Time Travel,Game: Mystery Tales of Time Travel, Platform: DS,0.16,0,0.01,0.02,0.19
TouchMaster: Connect,Game: TouchMaster: Connect, Platform: DS,0.17,0,0.11,0.03,0.31
Despicable Me: The Game - Minion Mayhem,Game: Despicable Me: The Game - Minion Mayhem, Platform: DS,0.09,0,0.42,0.04,0.54
Jewel Quest Mysteries: Curse of the Emerald Tear,Game: Jewel Quest Mysteries: Curse of the Emerald Tear, Platform: DS,0.25,0,0,0.04,0.29
Tetris Party Deluxe,Game: Tetris Party Deluxe, Platform: DS,0.3,0.12,0.29,0.07,0.78
Super Scribblenauts,Game: Super Scribblenauts, Platform: DS,0.31,0,1.08,0.11,1.5
I Heart Geeks,Game: I Heart Geeks, Platform: DS,0,0,0.02,0,0.03
Treasure Chase,Game: Treasure Chase, Platform: DS,0,0,0.02,0,0.02
Challenge Me: Word Puzzles,Game: Challenge Me: Word Puzzles, Platform: DS,0,0,0.03,0,0.04
Junior Island Adventure,Game: Junior Island Adventure, Platform: DS,0,0,0.03,0,0.03
Beastly Frantic Foto,Game: Beastly Frantic Foto, Platform: DS,0,0,0.04,0,0.05
Fishdom,Game: Fishdom, Platform: DS,0,0,0.05,0,0.05
Real Crimes: The Unicorn Killer,Game: Real Crimes: The Unicorn Killer, Platform: DS,0.01,0,0,0,0.01
Jewel Master: Cradle Of Rome 2,Game: Jewel Master: Cradle Of Rome 2, Platform: DS,0.02,0,0,0,0.02
Mystery Tales 2: The Spirit Mask,Game: Mystery Tales 2: The Spirit Mask, Platform: DS,0.02,0,0,0,0.02
Mahjong 300,Game: Mahjong 300, Platform: DS,0.03,0,0,0,0.04
Puyo Puyo!! 20th Anniversary,Game: Puyo Puyo!! 20th Anniversary, Platform: DS,0,0.14,0,0,0.14
Santa Claus Is Comin' to Town!,Game: Santa Claus Is Comin' to Town!, Platform: DS,0,0,0.07,0.01,0.07
I Spy: Castle,Game: I Spy: Castle, Platform: DS,0,0,0.19,0.01,0.21
Junior Mystery Quest,Game: Junior Mystery Quest, Platform: DS,0.01,0,0.07,0.01,0.09
7 Wonders: Treasures of Seven,Game: 7 Wonders: Treasures of Seven, Platform: DS,0.03,0,0.02,0.01,0.05
Jewels of the Ages,Game: Jewels of the Ages, Platform: DS,0.03,0,0.03,0.01,0.07
Jewel Time Deluxe,Game: Jewel Time Deluxe, Platform: DS,0.03,0,0.04,0.01,0.07
Jewel Quest Mysteries 2: Trail of the Midnight Heart,Game: Jewel Quest Mysteries 2: Trail of the Midnight Heart, Platform: DS,0.04,0,0,0.01,0.04
The Lost Treasures of Alexandria,Game: The Lost Treasures of Alexandria, Platform: DS,0.04,0,0,0.01,0.05
May's Mystery: Forbidden Memories,Game: May's Mystery: Forbidden Memories, Platform: DS,0.04,0,0.05,0.01,0.1
Jewel Legends: Tree of Life,Game: Jewel Legends: Tree of Life, Platform: DS,0.05,0,0,0.01,0.06
Jewel Quest IV: Heritage,Game: Jewel Quest IV: Heritage, Platform: DS,0.05,0,0,0.01,0.06
Gem Quest: 4 Elements,Game: Gem Quest: 4 Elements, Platform: DS,0.05,0,0.05,0.01,0.11
Jewel Link Chronicles: Legend of Athena,Game: Jewel Link Chronicles: Legend of Athena, Platform: DS,0.06,0,0,0.01,0.07
Curse of the Amsterdam Diamond,Game: Curse of the Amsterdam Diamond, Platform: DS,0.01,0,0,0,0.02
Jewel Match 2,Game: Jewel Match 2, Platform: DS,0.02,0,0,0,0.03
Heroes of Hellas 2: Olympia,Game: Heroes of Hellas 2: Olympia, Platform: DS,0.03,0,0,0,0.03
Jewel Master: Cradle of Persia,Game: Jewel Master: Cradle of Persia, Platform: DS,0.05,0,0,0.01,0.06
Qix,Game: Qix, Platform: GB,0.2,0.41,0.51,0.03,1.15
Yoshi,Game: Yoshi, Platform: GB,0,0.73,0,0,0.73
Tetris 2 (weekly jp sales),Game: Tetris 2 (weekly jp sales), Platform: GB,0,0.23,0,0,0.23
Tetris 2 (All region sales),Game: Tetris 2 (All region sales), Platform: GB,0.22,0.43,0.56,0.03,1.24
Yoshi's Cookie,Game: Yoshi's Cookie, Platform: GB,0.24,0.82,0.59,0.03,1.68
Kirby's Block Ball,Game: Kirby's Block Ball, Platform: GB,0,0.32,0,0,0.32
Mario's Picross,Game: Mario's Picross, Platform: GB,0,0.62,0,0,0.62
Tetris Attack,Game: Tetris Attack, Platform: GB,0,0.23,0,0,0.23
Picross 2,Game: Picross 2, Platform: GB,0,0.35,0,0,0.35
Kirby's Star Stacker,Game: Kirby's Star Stacker, Platform: GB,0,0.22,0,0,0.22
Kirby Tilt 'n' Tumble,Game: Kirby Tilt 'n' Tumble, Platform: GB,0.17,0.75,0.29,0.02,1.23
Super Puzzle Fighter II,Game: Super Puzzle Fighter II, Platform: GBA,0.02,0,0.06,0,0.09
WarioWare: Twisted!,Game: WarioWare: Twisted!, Platform: GBA,0.06,0.5,0.16,0.02,0.74
Tiny Toon Adventures: Wacky Stackers,Game: Tiny Toon Adventures: Wacky Stackers, Platform: GBA,0,0,0.01,0,0.02
Denki Blocks!,Game: Denki Blocks!, Platform: GBA,0.01,0,0.03,0,0.04
Super Bust-A-Move,Game: Super Bust-A-Move, Platform: GBA,0.01,0,0.03,0,0.05
Puyo Pop,Game: Puyo Pop, Platform: GBA,0.01,0,0.04,0,0.05
Snood,Game: Snood, Platform: GBA,0.03,0,0.09,0,0.13
M&M's Blast!,Game: M&M's Blast!, Platform: GBA,0.07,0,0.2,0,0.27
Mr. Driller 2,Game: Mr. Driller 2, Platform: GBA,0,0.15,0,0,0.16
Bomberman Tournament,Game: Bomberman Tournament, Platform: GBA,0.04,0.1,0.1,0.01,0.25
KuruKuru Kururin,Game: KuruKuru Kururin, Platform: GBA,0,0.3,0,0.01,0.31
Tetris Worlds,Game: Tetris Worlds, Platform: GBA,0.39,0,1.25,0.06,1.71
ZooCube,Game: ZooCube, Platform: GBA,0.01,0,0.03,0,0.05
Turbo Turtle Adventure,Game: Turbo Turtle Adventure, Platform: GBA,0.01,0,0.04,0,0.05
Bubble Bobble: Old & New,Game: Bubble Bobble: Old & New, Platform: GBA,0.02,0,0.04,0,0.06
Bomberman Max 2: Red Advance,Game: Bomberman Max 2: Red Advance, Platform: GBA,0.02,0,0.05,0,0.07
Bomberman Max 2: Blue Advance,Game: Bomberman Max 2: Blue Advance, Platform: GBA,0.02,0,0.07,0,0.09
Kururin Paradise,Game: Kururin Paradise, Platform: GBA,0,0.06,0,0,0.06
Super Monkey Ball Jr.,Game: Super Monkey Ball Jr., Platform: GBA,0.19,0,0.51,0.01,0.72
The Lost Vikings,Game: The Lost Vikings, Platform: GBA,0.01,0,0.04,0,0.05
"WarioWare, Inc.: Mega MicroGame$",Game: WarioWare, Inc.: Mega MicroGame$,0.11,0.7,0.4,0.02,1.23
Super Collapse! II,Game: Super Collapse! II, Platform: GBA,0.01,0,0.02,0,0.03
Bookworm,Game: Bookworm, Platform: GBA,0.01,0,0.02,0,0.03
Mighty Beanz: Pocket Puzzles,Game: Mighty Beanz: Pocket Puzzles, Platform: GBA,0.01,0,0.04,0,0.06
Famicom Mini: Clu Clu Land,Game: Famicom Mini: Clu Clu Land, Platform: GBA,0,0.04,0,0,0.04
Famicom Mini: Dig Dug,Game: Famicom Mini: Dig Dug, Platform: GBA,0,0.05,0,0,0.05
Famicom Mini: Wrecking Crew,Game: Famicom Mini: Wrecking Crew, Platform: GBA,0,0.07,0,0,0.07
Ms. Pac-Man Maze Madness,Game: Ms. Pac-Man Maze Madness, Platform: GBA,0.15,0,0.4,0.01,0.56
Classic NES Series: Pac-Man,Game: Classic NES Series: Pac-Man, Platform: GBA,0.09,0.12,0.25,0.01,0.46
Classic NES Series: Dr. Mario,Game: Classic NES Series: Dr. Mario, Platform: GBA,0.11,0.13,0.31,0.01,0.56
Mario vs. Donkey Kong,Game: Mario vs. Donkey Kong, Platform: GBA,0.25,0.21,0.68,0.02,1.17
Ultimate Puzzle Games,Game: Ultimate Puzzle Games, Platform: GBA,0,0,0.01,0,0.02
Snood 2: On Vacation,Game: Snood 2: On Vacation, Platform: GBA,0,0,0.01,0,0.01
Whac-A-Mole,Game: Whac-A-Mole, Platform: GBA,0,0,0.01,0,0.01
Atomic Betty,Game: Atomic Betty, Platform: GBA,0.01,0,0.02,0,0.03
Marble Madness / Klax,Game: Marble Madness / Klax, Platform: GBA,0.01,0,0.02,0,0.03
Ms. Pac-Man: Maze Madness / Pac-Man World,Game: Ms. Pac-Man: Maze Madness / Pac-Man World, Platform: GBA,0.06,0,0.17,0,0.24
Dr. Mario / Puzzle League,Game: Dr. Mario / Puzzle League, Platform: GBA,0.04,0.16,0.12,0.01,0.33
Tringo,Game: Tringo, Platform: GBA,0,0,0.01,0,0.01
Sudoku Fever,Game: Sudoku Fever, Platform: GBA,0.02,0,0.05,0,0.07
Nintendo Puzzle Collection,Game: Nintendo Puzzle Collection, Platform: GC,0,0.13,0,0,0.13
Super Monkey Ball,Game: Super Monkey Ball, Platform: GC,0.37,0.1,0.95,0.04,1.46
Egg Mania: Eggstreme Madness,Game: Egg Mania: Eggstreme Madness, Platform: GC,0,0,0.01,0,0.01
ZooCube,Game: ZooCube, Platform: GC,0,0,0.02,0,0.02
Worms Blast,Game: Worms Blast, Platform: GC,0.01,0,0.05,0,0.06
Bomberman Jetters,Game: Bomberman Jetters, Platform: GC,0.02,0,0.06,0,0.08
Tetris Worlds,Game: Tetris Worlds, Platform: GC,0.04,0,0.17,0.01,0.22
Super Monkey Ball 2,Game: Super Monkey Ball 2, Platform: GC,0.31,0.06,1.11,0.04,1.52
Bust-A-Move 3000,Game: Bust-A-Move 3000, Platform: GC,0,0,0.01,0,0.01
Super Bubble Pop,Game: Super Bubble Pop, Platform: GC,0.01,0,0.04,0,0.05
"WarioWare, Inc.: Mega Party Game$",Game: WarioWare, Inc.: Mega Party Game$,0.05,0.44,0.2,0.02,0.71
Puyo Pop Fever,Game: Puyo Pop Fever, Platform: GC,0,0,0.01,0,0.01
Kumamon Bomber: Puzzle de Kumamon Taisou,Game: Kumamon Bomber: Puzzle de Kumamon Taisou, Platform: GC,0.08,0,0.32,0.01,0.42
Bust-A-Move 2 Arcade Edition,Game: Bust-A-Move 2 Arcade Edition, Platform: N64,0.02,0,0.06,0,0.08
